Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,QualifyingPosition,Year,EventName,WetSession
0 days 00:08:49.865000,L HAMILTON,44,0 days 00:01:47.929000,1.0,1.0,0 days 00:07:06.138000,,0 days 00:00:42.222000,0 days 00:00:27.261000,0 days 00:00:38.446000,0 days 00:07:45.261000,0 days 00:08:11.437000,0 days 00:08:51.954000,248.0,270.0,299.0,146.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:07:06.138000,2018-03-24 06:03:06.303,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:10:13.667000,L HAMILTON,44,0 days 00:01:23.802000,2.0,1.0,,,0 days 00:00:27.667000,0 days 00:00:22.884000,0 days 00:00:33.251000,0 days 00:09:17.532000,0 days 00:09:40.416000,0 days 00:10:13.667000,281.0,290.0,303.0,313.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:08:49.865000,2018-03-24 06:04:50.030,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:12:06.203000,L HAMILTON,44,0 days 00:01:52.536000,3.0,1.0,,,0 days 00:00:42.357000,0 days 00:00:33.017000,0 days 00:00:37.162000,0 days 00:10:56.024000,0 days 00:11:29.041000,0 days 00:12:06.203000,205.0,254.0,298.0,288.0,False,ULTRASOFT,3.0,True,Mercedes,0 days 00:10:13.667000,2018-03-24 06:06:13.832,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:13:29.466000,L HAMILTON,44,0 days 00:01:23.263000,4.0,1.0,,,0 days 00:00:27.410000,0 days 00:00:22.811000,0 days 00:00:33.042000,0 days 00:12:33.613000,0 days 00:12:56.424000,0 days 00:13:29.466000,283.0,292.0,298.0,312.0,True,ULTRASOFT,4.0,True,Mercedes,0 days 00:12:06.203000,2018-03-24 06:08:06.368,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:15:28.217000,L HAMILTON,44,0 days 00:01:58.751000,5.0,1.0,,,0 days 00:00:35.598000,0 days 00:00:38.396000,0 days 00:00:44.757000,0 days 00:14:05.064000,0 days 00:14:43.460000,0 days 00:15:28.217000,153.0,259.0,296.0,229.0,False,ULTRASOFT,5.0,True,Mercedes,0 days 00:13:29.466000,2018-03-24 06:09:29.631,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:16:51.041000,L HAMILTON,44,0 days 00:01:22.824000,6.0,1.0,,,0 days 00:00:27.378000,0 days 00:00:22.601000,0 days 00:00:32.845000,0 days 00:15:55.595000,0 days 00:16:18.196000,0 days 00:16:51.041000,282.0,290.0,296.0,310.0,True,ULTRASOFT,6.0,True,Mercedes,0 days 00:15:28.217000,2018-03-24 06:11:28.382,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:31:43.580000,L HAMILTON,44,,7.0,1.0,,0 days 00:18:39.296000,0 days 00:00:37.807000,0 days 00:00:28.990000,,0 days 00:17:29.259000,0 days 00:17:57.855000,,195.0,269.0,,242.0,False,ULTRASOFT,7.0,True,Mercedes,0 days 00:16:51.041000,2018-03-24 06:12:51.206,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:33:36.979000,L HAMILTON,44,0 days 00:01:53.399000,8.0,2.0,0 days 00:31:48.007000,,0 days 00:00:43.168000,0 days 00:00:26.452000,0 days 00:00:43.779000,0 days 00:32:26.748000,0 days 00:32:53.200000,0 days 00:33:36.979000,250.0,277.0,303.0,205.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:31:43.580000,2018-03-24 06:27:43.745,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:34:59.030000,L HAMILTON,44,0 days 00:01:22.051000,9.0,2.0,,,0 days 00:00:26.904000,0 days 00:00:22.322000,0 days 00:00:32.825000,0 days 00:34:03.883000,0 days 00:34:26.205000,0 days 00:34:59.030000,285.0,294.0,302.0,317.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:33:36.979000,2018-03-24 06:29:37.144,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:40:35.126000,L HAMILTON,44,,10.0,2.0,,0 days 00:36:54.322000,0 days 00:00:36.883000,0 days 00:00:31.259000,,0 days 00:35:36.292000,0 days 00:36:07.146000,,175.0,219.0,,233.0,False,ULTRASOFT,3.0,True,Mercedes,0 days 00:34:59.030000,2018-03-24 06:30:59.195,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:42:31.520000,L HAMILTON,44,0 days 00:01:56.394000,11.0,3.0,0 days 00:40:39.321000,,0 days 00:00:44.056000,0 days 00:00:28.688000,0 days 00:00:43.650000,0 days 00:41:19.182000,0 days 00:41:47.870000,0 days 00:42:31.520000,243.0,279.0,303.0,204.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:40:35.126000,2018-03-24 06:36:35.291,,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:52:02.805000,L HAMILTON,44,,12.0,3.0,,0 days 00:43:55.452000,0 days 00:00:27.138000,0 days 00:00:22.470000,,0 days 00:42:58.655000,0 days 00:43:21.098000,,284.0,294.0,,317.0,False,ULTRASOFT,2.0,True,Mercedes,0 days 00:42:31.520000,2018-03-24 06:38:31.685,21,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:53:49.836000,L HAMILTON,44,0 days 00:01:47.031000,13.0,4.0,0 days 00:52:05.849000,,0 days 00:00:40.660000,0 days 00:00:26.342000,0 days 00:00:40.029000,0 days 00:52:43.465000,0 days 00:53:09.807000,0 days 00:53:49.836000,245.0,275.0,291.0,197.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:52:02.805000,2018-03-24 06:48:02.970,1,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 01:03:48.706000,L HAMILTON,44,,14.0,4.0,,0 days 00:55:43.868000,,,,,,,,,,311.0,False,ULTRASOFT,2.0,True,Mercedes,0 days 00:53:49.836000,2018-03-24 06:49:50.001,125,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 01:05:48.729000,L HAMILTON,44,0 days 00:02:00.023000,15.0,5.0,0 days 01:04:09.705000,,0 days 00:00:56.738000,0 days 00:00:25.229000,0 days 00:00:38.056000,0 days 01:04:45.444000,0 days 01:05:10.673000,0 days 01:05:48.729000,255.0,277.0,302.0,220.0,False,ULTRASOFT,1.0,False,Mercedes,0 days 01:04:09.705000,2018-03-24 07:00:09.870,1,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 01:07:10.780000,L HAMILTON,44,0 days 00:01:22.051000,16.0,5.0,,,0 days 00:00:27.139000,0 days 00:00:22.273000,0 days 00:00:32.639000,0 days 01:06:15.868000,0 days 01:06:38.141000,0 days 01:07:10.780000,283.0,292.0,301.0,315.0,False,ULTRASOFT,2.0,False,Mercedes,0 days 01:05:48.729000,2018-03-24 07:01:48.894,1,,False,,False,True,1.0,2018,Australian Grand Prix,False
0 days 01:11:01.241000,L HAMILTON,44,,17.0,5.0,,0 days 01:08:50.092000,0 days 00:00:31.315000,0 days 00:00:26.065000,,0 days 01:07:42.888000,0 days 01:08:08.873000,,238.0,233.0,,264.0,False,ULTRASOFT,3.0,False,Mercedes,0 days 01:07:10.780000,2018-03-24 07:03:10.945,1,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 01:13:00.001000,L HAMILTON,44,0 days 00:01:58.760000,18.0,6.0,0 days 01:11:06.444000,,0 days 00:00:43.351000,0 days 00:00:26.875000,0 days 00:00:48.534000,0 days 01:11:44.592000,0 days 01:12:11.467000,0 days 01:13:00.001000,249.0,150.0,305.0,204.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 01:11:01.241000,2018-03-24 07:07:01.406,1,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 01:14:21.165000,L HAMILTON,44,0 days 00:01:21.164000,19.0,6.0,,,0 days 00:00:26.698000,0 days 00:00:22.066000,0 days 00:00:32.400000,0 days 01:13:26.699000,0 days 01:13:48.765000,0 days 01:14:21.165000,284.0,293.0,302.0,318.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 01:13:00.001000,2018-03-24 07:09:00.166,1,,False,,False,True,1.0,2018,Australian Grand Prix,False
0 days 01:16:04.640000,L HAMILTON,44,,20.0,6.0,,0 days 01:17:25.986000,0 days 00:00:37.147000,0 days 00:00:33.886000,0 days 00:00:32.400000,0 days 01:15:01.418000,0 days 01:15:32.240000,0 days 01:17:25.986000,201.0,220.0,,218.0,False,ULTRASOFT,3.0,True,Mercedes,0 days 01:14:21.165000,2018-03-24 07:10:21.330,1,,False,,False,False,1.0,2018,Australian Grand Prix,False
0 days 00:07:28.464000,K RAIKKONEN,7,0 days 00:01:42.734000,1.0,1.0,0 days 00:05:48.499000,,0 days 00:00:39.377000,0 days 00:00:26.018000,0 days 00:00:37.339000,0 days 00:06:25.115000,0 days 00:06:51.137000,0 days 00:07:29.115000,240.0,271.0,302.0,216.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:05:48.499000,2018-03-24 06:01:48.664,,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:08:52.080000,K RAIKKONEN,7,0 days 00:01:23.616000,2.0,1.0,,,0 days 00:00:27.672000,0 days 00:00:22.735000,0 days 00:00:33.209000,0 days 00:07:56.136000,0 days 00:08:18.871000,0 days 00:08:52.080000,282.0,294.0,306.0,313.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 00:07:28.464000,2018-03-24 06:03:28.629,,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:10:32.056000,K RAIKKONEN,7,0 days 00:01:39.976000,3.0,1.0,,,0 days 00:00:33.214000,0 days 00:00:27.164000,0 days 00:00:39.598000,0 days 00:09:25.294000,0 days 00:09:52.458000,0 days 00:10:32.056000,243.0,256.0,304.0,265.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 00:08:52.080000,2018-03-24 06:04:52.245,,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:11:55.152000,K RAIKKONEN,7,0 days 00:01:23.096000,4.0,1.0,,,0 days 00:00:27.442000,0 days 00:00:22.661000,0 days 00:00:32.993000,0 days 00:10:59.498000,0 days 00:11:22.159000,0 days 00:11:55.152000,285.0,296.0,303.0,317.0,True,ULTRASOFT,4.0,True,Ferrari,0 days 00:10:32.056000,2018-03-24 06:06:32.221,,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:31:07.425000,K RAIKKONEN,7,,5.0,1.0,,0 days 00:13:37.737000,0 days 00:00:33.356000,0 days 00:00:29.765000,,0 days 00:12:28.586000,0 days 00:12:58.268000,,241.0,257.0,,271.0,False,ULTRASOFT,5.0,True,Ferrari,0 days 00:11:55.152000,2018-03-24 06:07:55.317,,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:32:49.973000,K RAIKKONEN,7,0 days 00:01:42.548000,6.0,2.0,0 days 00:31:10.721000,,0 days 00:00:38.923000,0 days 00:00:25.269000,0 days 00:00:38.356000,0 days 00:31:46.348000,0 days 00:32:11.617000,0 days 00:32:49.973000,245.0,272.0,304.0,215.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:31:07.425000,2018-03-24 06:27:07.590,,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:34:12.480000,K RAIKKONEN,7,0 days 00:01:22.507000,7.0,2.0,,,0 days 00:00:27.321000,0 days 00:00:22.441000,0 days 00:00:32.745000,0 days 00:33:17.294000,0 days 00:33:39.735000,0 days 00:34:12.480000,285.0,294.0,305.0,316.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 00:32:49.973000,2018-03-24 06:28:50.138,,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:41:16.360000,K RAIKKONEN,7,,8.0,2.0,,0 days 00:35:59.479000,0 days 00:00:32.395000,0 days 00:00:28.252000,,0 days 00:34:45.073000,0 days 00:35:13.107000,,240.0,171.0,,257.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 00:34:12.480000,2018-03-24 06:30:12.645,,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:43:01.170000,K RAIKKONEN,7,0 days 00:01:44.810000,9.0,3.0,0 days 00:41:19.105000,,0 days 00:00:38.185000,0 days 00:00:24.752000,0 days 00:00:41.873000,0 days 00:41:54.545000,0 days 00:42:19.297000,0 days 00:43:01.170000,255.0,274.0,307.0,209.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:41:16.360000,2018-03-24 06:37:16.525,,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:52:41.480000,K RAIKKONEN,7,,10.0,3.0,,0 days 00:44:29.235000,0 days 00:00:27.426000,0 days 00:00:22.515000,,0 days 00:43:28.671000,0 days 00:43:51.675000,,280.0,294.0,,321.0,False,ULTRASOFT,2.0,True,Ferrari,0 days 00:43:01.170000,2018-03-24 06:39:01.335,21,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 01:04:31.722000,K RAIKKONEN,7,,11.0,4.0,0 days 00:52:41.340000,0 days 00:54:29.149000,0 days 00:00:39.683000,0 days 00:00:26.918000,,0 days 00:53:18.284000,0 days 00:53:45.189000,,247.0,269.0,,211.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:52:41.480000,2018-03-24 06:48:41.645,125,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 01:06:13.591000,K RAIKKONEN,7,0 days 00:01:41.869000,12.0,5.0,0 days 01:04:34.474000,,0 days 00:00:37.543000,0 days 00:00:26.088000,0 days 00:00:38.238000,0 days 01:05:09.265000,0 days 01:05:35.353000,0 days 01:06:13.591000,249.0,272.0,305.0,218.0,False,ULTRASOFT,1.0,False,Ferrari,0 days 01:04:34.474000,2018-03-24 07:00:34.639,1,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 01:07:35.842000,K RAIKKONEN,7,0 days 00:01:22.251000,13.0,5.0,,,0 days 00:00:27.254000,0 days 00:00:22.345000,0 days 00:00:32.652000,0 days 01:06:40.845000,0 days 01:07:03.190000,0 days 01:07:35.842000,284.0,293.0,303.0,317.0,True,ULTRASOFT,2.0,False,Ferrari,0 days 01:06:13.591000,2018-03-24 07:02:13.756,1,,False,,False,True,2.0,2018,Australian Grand Prix,False
0 days 01:11:11.731000,K RAIKKONEN,7,,14.0,5.0,,0 days 01:09:10.593000,0 days 00:00:31.319000,0 days 00:00:25.756000,,0 days 01:08:08.573000,0 days 01:08:33.287000,,246.0,261.0,,272.0,False,ULTRASOFT,3.0,False,Ferrari,0 days 01:07:35.842000,2018-03-24 07:03:36.007,1,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 01:13:05.627000,K RAIKKONEN,7,0 days 00:01:53.896000,15.0,6.0,0 days 01:11:14.566000,,0 days 00:00:38.690000,0 days 00:00:27.149000,0 days 00:00:48.057000,0 days 01:11:50.421000,0 days 01:12:17.570000,0 days 01:13:05.627000,243.0,270.0,307.0,214.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 01:11:11.731000,2018-03-24 07:07:11.896,1,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 01:14:27.455000,K RAIKKONEN,7,0 days 00:01:21.828000,16.0,6.0,,,0 days 00:00:26.992000,0 days 00:00:22.204000,0 days 00:00:32.632000,0 days 01:13:32.619000,0 days 01:13:54.823000,0 days 01:14:27.455000,285.0,295.0,305.0,320.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 01:13:05.627000,2018-03-24 07:09:05.792,1,,False,,False,True,2.0,2018,Australian Grand Prix,False
0 days 01:17:14.996000,K RAIKKONEN,7,,17.0,6.0,,0 days 01:17:14.996000,0 days 00:00:35.833000,0 days 00:00:32.049000,,0 days 01:15:06.292000,0 days 01:15:35.350000,,183.0,220.0,,213.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 01:14:27.455000,2018-03-24 07:10:27.620,12,,False,,False,False,2.0,2018,Australian Grand Prix,False
0 days 00:07:45.314000,S VETTEL,5,0 days 00:01:49.810000,1.0,1.0,0 days 00:05:58.356000,,0 days 00:00:41.711000,0 days 00:00:29.189000,0 days 00:00:38.910000,0 days 00:06:37.215000,0 days 00:07:07.045000,0 days 00:07:47.072000,229.0,270.0,302.0,197.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:05:58.356000,2018-03-24 06:01:58.521,,,False,,False,False,3.0,2018,Australian Grand Prix,False
