Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,EventName
0 days 00:22:20.980000,M VERSTAPPEN,1,,1.0,1.0,0 days 00:20:10.428000,,,0 days 00:00:46.454000,0 days 00:00:27.668000,,0 days 00:21:53.374000,0 days 00:22:21.019000,226.0,256.0,291.0,110.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:20:10.428000,2024-03-01 16:06:46.101,1,,False,,False,False,2024,Bahrain Grand Prix
0 days 00:23:51.011000,M VERSTAPPEN,1,0 days 00:01:30.031000,2.0,1.0,,,0 days 00:00:28.787000,0 days 00:00:38.580000,0 days 00:00:22.664000,0 days 00:22:49.767000,0 days 00:23:28.347000,0 days 00:23:51.011000,242.0,270.0,288.0,316.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:22:20.980000,2024-03-01 16:08:56.653,1,,False,,False,True,2024,Bahrain Grand Prix
0 days 00:25:59.737000,M VERSTAPPEN,1,0 days 00:02:08.726000,3.0,1.0,,0 days 00:25:58.003000,0 days 00:00:37.524000,0 days 00:00:56.168000,0 days 00:00:35.034000,0 days 00:24:28.535000,0 days 00:25:24.703000,0 days 00:25:59.737000,153.0,168.0,,207.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:23:51.011000,2024-03-01 16:10:26.684,1,,False,,False,False,2024,Bahrain Grand Prix
0 days 00:31:09.934000,M VERSTAPPEN,1,,4.0,2.0,0 days 00:29:18.091000,,,0 days 00:00:46.144000,0 days 00:00:29.156000,,0 days 00:30:40.828000,0 days 00:31:10.171000,174.0,238.0,288.0,139.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:25:59.737000,2024-03-01 16:12:35.410,1,,False,,False,False,2024,Bahrain Grand Prix
0 days 00:32:40.094000,M VERSTAPPEN,1,0 days 00:01:30.160000,5.0,2.0,,,0 days 00:00:28.822000,0 days 00:00:38.767000,0 days 00:00:22.571000,0 days 00:31:38.756000,0 days 00:32:17.523000,0 days 00:32:40.094000,241.0,271.0,286.0,317.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:31:09.934000,2024-03-01 16:17:45.607,1,,False,,False,True,2024,Bahrain Grand Prix
0 days 00:34:22.949000,M VERSTAPPEN,1,0 days 00:01:42.855000,6.0,2.0,,0 days 00:34:21.124000,0 days 00:00:32.800000,0 days 00:00:42.210000,0 days 00:00:27.845000,0 days 00:33:12.894000,0 days 00:33:55.104000,0 days 00:34:22.949000,217.0,252.0,,224.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:32:40.094000,2024-03-01 16:19:15.767,1,,False,,False,False,2024,Bahrain Grand Prix
0 days 00:43:40.016000,M VERSTAPPEN,1,,7.0,3.0,0 days 00:41:42.542000,,,0 days 00:00:47.747000,0 days 00:00:26.830000,,0 days 00:43:13.186000,0 days 00:43:40.109000,231.0,229.0,293.0,91.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:34:22.949000,2024-03-01 16:20:58.622,1,,False,,False,False,2024,Bahrain Grand Prix
0 days 00:45:09.390000,M VERSTAPPEN,1,0 days 00:01:29.374000,8.0,3.0,,,0 days 00:00:28.509000,0 days 00:00:38.387000,0 days 00:00:22.478000,0 days 00:44:08.525000,0 days 00:44:46.912000,0 days 00:45:09.390000,242.0,271.0,287.0,327.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:40.016000,2024-03-01 16:30:15.689,1,,False,,False,True,2024,Bahrain Grand Prix
0 days 00:47:06.263000,M VERSTAPPEN,1,0 days 00:01:56.873000,9.0,3.0,,0 days 00:47:05.349000,0 days 00:00:35.265000,0 days 00:00:49.962000,0 days 00:00:31.646000,0 days 00:45:44.655000,0 days 00:46:34.617000,0 days 00:47:06.263000,210.0,187.0,,212.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:45:09.390000,2024-03-01 16:31:45.063,1,,False,,False,False,2024,Bahrain Grand Prix
0 days 00:52:16.553000,M VERSTAPPEN,1,,10.0,4.0,0 days 00:50:08.844000,,,0 days 00:00:46.574000,0 days 00:00:24.652000,,0 days 00:51:51.938000,0 days 00:52:16.589000,227.0,233.0,289.0,51.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:47:06.263000,2024-03-01 16:33:41.936,1,,False,,False,False,2024,Bahrain Grand Prix
