Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,QualifyingPosition,Year,EventName,WetSession
B HARTLEY,28,0 days 00:01:38.713000,2.0,1.0,0 days 00:00:17.567000,0 days 00:00:41.797000,0 days 00:00:39.349000,0 days 00:17:55.973000,0 days 00:18:37.770000,0 days 00:19:17.119000,286.0,314.0,218.0,327.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:17:38.406000,1.0,16.0,2018,Abu Dhabi Grand Prix,False
B HARTLEY,28,0 days 00:01:38.127000,5.0,2.0,0 days 00:00:17.513000,0 days 00:00:41.709000,0 days 00:00:38.905000,0 days 00:25:30.706000,0 days 00:26:12.415000,0 days 00:26:51.320000,283.0,315.0,218.0,323.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:25:13.193000,1.0,16.0,2018,Abu Dhabi Grand Prix,False
B HARTLEY,28,0 days 00:01:37.994000,8.0,3.0,0 days 00:00:17.450000,0 days 00:00:41.589000,0 days 00:00:38.955000,0 days 00:33:01.972000,0 days 00:33:43.561000,0 days 00:34:22.516000,286.0,317.0,217.0,328.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:32:44.522000,1.0,16.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:38.968000,2.0,1.0,0 days 00:00:17.271000,0 days 00:00:41.969000,0 days 00:00:39.728000,0 days 00:17:34.899000,0 days 00:18:16.868000,0 days 00:18:56.596000,289.0,316.0,224.0,326.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:17:17.628000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:02:22.825000,3.0,1.0,0 days 00:00:29.037000,0 days 00:01:01.227000,0 days 00:00:52.561000,0 days 00:19:25.633000,0 days 00:20:26.860000,0 days 00:21:19.421000,136.0,173.0,230.0,190.0,False,HYPERSOFT,3.0,True,Sauber,0 days 00:18:56.596000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:37.980000,4.0,1.0,0 days 00:00:17.162000,0 days 00:00:41.521000,0 days 00:00:39.297000,0 days 00:21:36.583000,0 days 00:22:18.104000,0 days 00:22:57.401000,288.0,317.0,224.0,326.0,True,HYPERSOFT,4.0,True,Sauber,0 days 00:21:19.421000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:37.124000,7.0,2.0,0 days 00:00:17.073000,0 days 00:00:41.015000,0 days 00:00:39.036000,0 days 00:31:59.401000,0 days 00:32:40.416000,0 days 00:33:19.452000,290.0,319.0,227.0,330.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:31:42.328000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:36.984000,10.0,3.0,0 days 00:00:16.972000,0 days 00:00:40.999000,0 days 00:00:39.013000,0 days 00:43:20.457000,0 days 00:44:01.456000,0 days 00:44:40.469000,293.0,319.0,226.0,335.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:43:03.485000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:36.580000,13.0,4.0,0 days 00:00:16.928000,0 days 00:00:40.755000,0 days 00:00:38.897000,0 days 00:54:05.248000,0 days 00:54:46.003000,0 days 00:55:24.900000,295.0,320.0,228.0,335.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:53:48.320000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:36.886000,16.0,5.0,0 days 00:00:16.977000,0 days 00:00:41.037000,0 days 00:00:38.872000,0 days 01:05:38.566000,0 days 01:06:19.603000,0 days 01:06:58.475000,293.0,317.0,225.0,332.0,True,HYPERSOFT,5.0,False,Sauber,0 days 01:05:21.589000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:36.237000,19.0,6.0,0 days 00:00:16.891000,0 days 00:00:40.810000,0 days 00:00:38.536000,0 days 01:14:04.592000,0 days 01:14:45.402000,0 days 01:15:23.938000,294.0,318.0,226.0,331.0,True,HYPERSOFT,2.0,True,Sauber,0 days 01:13:47.701000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C SAINZ,55,0 days 00:01:37.757000,2.0,1.0,0 days 00:00:17.369000,0 days 00:00:41.487000,0 days 00:00:38.901000,0 days 00:25:03.661000,0 days 00:25:45.148000,0 days 00:26:24.049000,286.0,316.0,225.0,325.0,True,HYPERSOFT,2.0,True,Renault,0 days 00:24:46.292000,1.0,11.0,2018,Abu Dhabi Grand Prix,False
C SAINZ,55,0 days 00:01:36.982000,5.0,2.0,0 days 00:00:17.290000,0 days 00:00:41.303000,0 days 00:00:38.389000,0 days 00:43:40.167000,0 days 00:44:21.470000,0 days 00:44:59.859000,288.0,314.0,224.0,328.0,True,HYPERSOFT,2.0,True,Renault,0 days 00:43:22.877000,1.0,11.0,2018,Abu Dhabi Grand Prix,False
C SAINZ,55,0 days 00:01:37.149000,8.0,3.0,0 days 00:00:17.213000,0 days 00:00:41.334000,0 days 00:00:38.602000,0 days 00:54:13.831000,0 days 00:54:55.165000,0 days 00:55:33.767000,290.0,315.0,223.0,329.0,False,HYPERSOFT,2.0,True,Renault,0 days 00:53:56.618000,1.0,11.0,2018,Abu Dhabi Grand Prix,False
D RICCIARDO,3,0 days 00:01:37.117000,2.0,1.0,0 days 00:00:17.444000,0 days 00:00:41.497000,0 days 00:00:38.176000,0 days 00:24:23.507000,0 days 00:25:05.004000,0 days 00:25:43.180000,281.0,312.0,223.0,321.0,True,HYPERSOFT,2.0,True,Red Bull Racing,0 days 00:24:06.063000,1.0,5.0,2018,Abu Dhabi Grand Prix,False
D RICCIARDO,3,0 days 00:01:36.964000,5.0,2.0,0 days 00:00:17.204000,0 days 00:00:41.353000,0 days 00:00:38.407000,0 days 00:43:26.659000,0 days 00:44:08.012000,0 days 00:44:46.419000,285.0,310.0,224.0,323.0,True,ULTRASOFT,2.0,True,Red Bull Racing,0 days 00:43:09.455000,1.0,5.0,2018,Abu Dhabi Grand Prix,False
D RICCIARDO,3,0 days 00:02:25.194000,6.0,2.0,0 days 00:00:23.990000,0 days 00:00:59.001000,0 days 00:01:02.203000,0 days 00:45:10.409000,0 days 00:46:09.410000,0 days 00:47:11.613000,238.0,143.0,224.0,242.0,False,ULTRASOFT,3.0,True,Red Bull Racing,0 days 00:44:46.419000,1.0,5.0,2018,Abu Dhabi Grand Prix,False
D RICCIARDO,3,0 days 00:01:40.227000,9.0,3.0,0 days 00:00:17.127000,0 days 00:00:41.101000,0 days 00:00:41.999000,0 days 00:54:51.828000,0 days 00:55:32.929000,0 days 00:56:14.928000,286.0,309.0,62.0,322.0,False,HYPERSOFT,2.0,True,Red Bull Racing,0 days 00:54:34.701000,1.0,5.0,2018,Abu Dhabi Grand Prix,False
D RICCIARDO,3,0 days 00:01:35.454000,12.0,4.0,0 days 00:00:17.147000,0 days 00:00:40.853000,0 days 00:00:37.454000,0 days 01:06:27.149000,0 days 01:07:08.002000,0 days 01:07:45.456000,284.0,305.0,223.0,316.0,True,HYPERSOFT,2.0,True,Red Bull Racing,0 days 01:06:10.002000,1.0,5.0,2018,Abu Dhabi Grand Prix,False
D RICCIARDO,3,0 days 00:01:35.401000,15.0,5.0,0 days 00:00:17.127000,0 days 00:00:41.011000,0 days 00:00:37.263000,0 days 01:14:31.415000,0 days 01:15:12.426000,0 days 01:15:49.689000,286.0,307.0,224.0,319.0,True,HYPERSOFT,2.0,True,Red Bull Racing,0 days 01:14:14.288000,1.0,5.0,2018,Abu Dhabi Grand Prix,False
E OCON,31,0 days 00:01:38.170000,2.0,1.0,0 days 00:00:17.324000,0 days 00:00:41.473000,0 days 00:00:39.373000,0 days 00:21:09.508000,0 days 00:21:50.981000,0 days 00:22:30.354000,285.0,317.0,220.0,328.0,True,HYPERSOFT,2.0,True,Racing Point,0 days 00:20:52.184000,1.0,9.0,2018,Abu Dhabi Grand Prix,False
E OCON,31,0 days 00:01:36.936000,5.0,2.0,0 days 00:00:17.213000,0 days 00:00:41.043000,0 days 00:00:38.680000,0 days 00:31:54.705000,0 days 00:32:35.748000,0 days 00:33:14.428000,290.0,314.0,218.0,329.0,True,HYPERSOFT,2.0,True,Racing Point,0 days 00:31:37.492000,1.0,9.0,2018,Abu Dhabi Grand Prix,False
E OCON,31,0 days 00:01:37.637000,8.0,3.0,0 days 00:00:17.146000,0 days 00:00:41.260000,0 days 00:00:39.231000,0 days 00:43:53.373000,0 days 00:44:34.633000,0 days 00:45:13.864000,295.0,318.0,222.0,331.0,True,ULTRASOFT,2.0,True,Racing Point,0 days 00:43:36.227000,1.0,9.0,2018,Abu Dhabi Grand Prix,False
E OCON,31,0 days 00:01:36.814000,11.0,4.0,0 days 00:00:17.100000,0 days 00:00:40.905000,0 days 00:00:38.809000,0 days 00:54:21.638000,0 days 00:55:02.543000,0 days 00:55:41.352000,296.0,315.0,216.0,333.0,True,HYPERSOFT,2.0,True,Racing Point,0 days 00:54:04.538000,1.0,9.0,2018,Abu Dhabi Grand Prix,False
E OCON,31,0 days 00:01:37.033000,14.0,5.0,0 days 00:00:17.159000,0 days 00:00:41.030000,0 days 00:00:38.844000,0 days 01:05:34.798000,0 days 01:06:15.828000,0 days 01:06:54.672000,292.0,313.0,218.0,330.0,True,HYPERSOFT,5.0,False,Racing Point,0 days 01:05:17.639000,1.0,9.0,2018,Abu Dhabi Grand Prix,False
E OCON,31,0 days 00:01:36.540000,17.0,6.0,0 days 00:00:17.067000,0 days 00:00:40.879000,0 days 00:00:38.594000,0 days 01:13:59.364000,0 days 01:14:40.243000,0 days 01:15:18.837000,294.0,314.0,222.0,326.0,True,HYPERSOFT,2.0,True,Racing Point,0 days 01:13:42.297000,1.0,9.0,2018,Abu Dhabi Grand Prix,False
F ALONSO,14,0 days 00:01:39.651000,2.0,1.0,0 days 00:00:17.537000,0 days 00:00:42.189000,0 days 00:00:39.925000,0 days 00:17:39.276000,0 days 00:18:21.465000,0 days 00:19:01.390000,282.0,313.0,220.0,322.0,True,HYPERSOFT,2.0,True,McLaren,0 days 00:17:21.739000,1.0,15.0,2018,Abu Dhabi Grand Prix,False
F ALONSO,14,0 days 00:01:38.374000,5.0,2.0,0 days 00:00:17.373000,0 days 00:00:41.768000,0 days 00:00:39.233000,0 days 00:25:14.859000,0 days 00:25:56.627000,0 days 00:26:35.860000,282.0,313.0,220.0,320.0,True,HYPERSOFT,2.0,True,McLaren,0 days 00:24:57.486000,1.0,15.0,2018,Abu Dhabi Grand Prix,False
F ALONSO,14,0 days 00:01:37.890000,8.0,3.0,0 days 00:00:17.337000,0 days 00:00:41.538000,0 days 00:00:39.015000,0 days 00:32:57.496000,0 days 00:33:39.034000,0 days 00:34:18.049000,284.0,313.0,219.0,323.0,True,HYPERSOFT,2.0,True,McLaren,0 days 00:32:40.159000,1.0,15.0,2018,Abu Dhabi Grand Prix,False
F ALONSO,14,0 days 00:01:39.289000,11.0,4.0,0 days 00:00:17.368000,0 days 00:00:42.101000,0 days 00:00:39.820000,0 days 00:43:46.757000,0 days 00:44:28.858000,0 days 00:45:08.678000,285.0,311.0,221.0,325.0,True,HYPERSOFT,5.0,False,McLaren,0 days 00:43:29.389000,1.0,15.0,2018,Abu Dhabi Grand Prix,False
F ALONSO,14,0 days 00:01:37.743000,14.0,5.0,0 days 00:00:17.191000,0 days 00:00:41.579000,0 days 00:00:38.973000,0 days 00:54:10.089000,0 days 00:54:51.668000,0 days 00:55:30.641000,287.0,313.0,220.0,325.0,True,HYPERSOFT,2.0,True,McLaren,0 days 00:53:52.898000,1.0,15.0,2018,Abu Dhabi Grand Prix,False
K MAGNUSSEN,20,0 days 00:01:38.688000,2.0,1.0,0 days 00:00:17.205000,0 days 00:00:41.816000,0 days 00:00:39.667000,0 days 00:24:42.079000,0 days 00:25:23.895000,0 days 00:26:03.562000,285.0,314.0,223.0,325.0,True,HYPERSOFT,2.0,True,Haas F1 Team,0 days 00:24:24.874000,1.0,13.0,2018,Abu Dhabi Grand Prix,False
K MAGNUSSEN,20,0 days 00:01:37.934000,5.0,2.0,0 days 00:00:17.144000,0 days 00:00:41.532000,0 days 00:00:39.258000,0 days 00:32:10.299000,0 days 00:32:51.831000,0 days 00:33:31.089000,287.0,313.0,224.0,326.0,True,HYPERSOFT,2.0,True,Haas F1 Team,0 days 00:31:53.155000,1.0,13.0,2018,Abu Dhabi Grand Prix,False
K MAGNUSSEN,20,0 days 00:01:37.309000,8.0,3.0,0 days 00:00:17.087000,0 days 00:00:41.298000,0 days 00:00:38.924000,0 days 00:46:09.841000,0 days 00:46:51.139000,0 days 00:47:30.063000,288.0,312.0,223.0,327.0,True,HYPERSOFT,2.0,True,Haas F1 Team,0 days 00:45:52.754000,1.0,13.0,2018,Abu Dhabi Grand Prix,False
K MAGNUSSEN,20,0 days 00:01:37.919000,11.0,4.0,0 days 00:00:17.104000,0 days 00:00:41.436000,0 days 00:00:39.379000,0 days 00:55:13.079000,0 days 00:55:54.515000,0 days 00:56:33.894000,291.0,315.0,223.0,329.0,False,HYPERSOFT,2.0,True,Haas F1 Team,0 days 00:54:55.975000,1.0,13.0,2018,Abu Dhabi Grand Prix,False
K RAIKKONEN,7,0 days 00:01:37.010000,2.0,1.0,0 days 00:00:17.160000,0 days 00:00:41.073000,0 days 00:00:38.777000,0 days 00:19:09.252000,0 days 00:19:50.325000,0 days 00:20:29.102000,287.0,317.0,225.0,325.0,True,HYPERSOFT,2.0,True,Ferrari,0 days 00:18:52.092000,1.0,4.0,2018,Abu Dhabi Grand Prix,False
K RAIKKONEN,7,0 days 00:02:20.222000,3.0,1.0,0 days 00:00:25.573000,0 days 00:00:59.064000,0 days 00:00:55.585000,0 days 00:20:54.675000,0 days 00:21:53.739000,0 days 00:22:49.324000,104.0,177.0,227.0,261.0,False,HYPERSOFT,3.0,True,Ferrari,0 days 00:20:29.102000,1.0,4.0,2018,Abu Dhabi Grand Prix,False
K RAIKKONEN,7,0 days 00:01:37.635000,4.0,1.0,0 days 00:00:17.190000,0 days 00:00:41.580000,0 days 00:00:38.865000,0 days 00:23:06.514000,0 days 00:23:48.094000,0 days 00:24:26.959000,285.0,315.0,225.0,323.0,False,HYPERSOFT,4.0,True,Ferrari,0 days 00:22:49.324000,1.0,4.0,2018,Abu Dhabi Grand Prix,False
K RAIKKONEN,7,0 days 00:01:36.735000,7.0,2.0,0 days 00:00:16.946000,0 days 00:00:41.048000,0 days 00:00:38.741000,0 days 00:43:35.136000,0 days 00:44:16.184000,0 days 00:44:54.925000,293.0,323.0,226.0,334.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 00:43:18.190000,1.0,4.0,2018,Abu Dhabi Grand Prix,False
K RAIKKONEN,7,0 days 00:02:21.084000,8.0,2.0,0 days 00:00:21.634000,0 days 00:00:55.908000,0 days 00:01:03.542000,0 days 00:45:16.559000,0 days 00:46:12.467000,0 days 00:47:16.009000,209.0,212.0,230.0,233.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 00:44:54.925000,1.0,4.0,2018,Abu Dhabi Grand Prix,False
K RAIKKONEN,7,0 days 00:01:38.316000,11.0,3.0,0 days 00:00:16.901000,0 days 00:00:40.762000,0 days 00:00:40.653000,0 days 00:55:03.948000,0 days 00:55:44.710000,0 days 00:56:25.363000,295.0,320.0,189.0,333.0,False,HYPERSOFT,2.0,True,Ferrari,0 days 00:54:47.047000,1.0,4.0,2018,Abu Dhabi Grand Prix,False
K RAIKKONEN,7,0 days 00:01:35.511000,14.0,4.0,0 days 00:00:16.819000,0 days 00:00:40.672000,0 days 00:00:38.020000,0 days 01:06:44.096000,0 days 01:07:24.768000,0 days 01:08:02.788000,294.0,316.0,222.0,327.0,True,HYPERSOFT,2.0,True,Ferrari,0 days 01:06:27.277000,1.0,4.0,2018,Abu Dhabi Grand Prix,False
K RAIKKONEN,7,0 days 00:01:35.365000,17.0,5.0,0 days 00:00:16.820000,0 days 00:00:40.683000,0 days 00:00:37.862000,0 days 01:14:57.232000,0 days 01:15:37.915000,0 days 01:16:15.777000,293.0,315.0,225.0,327.0,True,HYPERSOFT,2.0,True,Ferrari,0 days 01:14:40.412000,1.0,4.0,2018,Abu Dhabi Grand Prix,False
L HAMILTON,44,0 days 00:01:37.022000,2.0,1.0,0 days 00:00:17.395000,0 days 00:00:41.457000,0 days 00:00:38.170000,0 days 00:22:01.626000,0 days 00:22:43.083000,0 days 00:23:21.253000,280.0,310.0,223.0,317.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 00:21:44.231000,1.0,1.0,2018,Abu Dhabi Grand Prix,False
L HAMILTON,44,0 days 00:02:26.069000,4.0,1.0,0 days 00:00:27.493000,0 days 00:00:54.989000,0 days 00:01:03.587000,0 days 00:26:41.131000,0 days 00:27:36.120000,0 days 00:28:39.707000,214.0,190.0,223.0,248.0,False,HYPERSOFT,4.0,True,Mercedes,0 days 00:26:13.638000,1.0,1.0,2018,Abu Dhabi Grand Prix,False
L HAMILTON,44,0 days 00:01:36.828000,5.0,1.0,0 days 00:00:17.337000,0 days 00:00:41.295000,0 days 00:00:38.196000,0 days 00:28:57.044000,0 days 00:29:38.339000,0 days 00:30:16.535000,279.0,310.0,223.0,317.0,True,HYPERSOFT,5.0,True,Mercedes,0 days 00:28:39.707000,1.0,1.0,2018,Abu Dhabi Grand Prix,False
L HAMILTON,44,0 days 00:01:35.693000,8.0,2.0,0 days 00:00:17.049000,0 days 00:00:40.815000,0 days 00:00:37.829000,0 days 00:43:07.548000,0 days 00:43:48.363000,0 days 00:44:26.192000,285.0,311.0,223.0,323.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:42:50.499000,1.0,1.0,2018,Abu Dhabi Grand Prix,False
L HAMILTON,44,0 days 00:01:39.528000,11.0,3.0,0 days 00:00:17.029000,0 days 00:00:41.073000,0 days 00:00:41.426000,0 days 00:53:52.857000,0 days 00:54:33.930000,0 days 00:55:15.356000,287.0,,140.0,,False,HYPERSOFT,2.0,True,Mercedes,0 days 00:53:35.828000,1.0,1.0,2018,Abu Dhabi Grand Prix,False
L HAMILTON,44,0 days 00:01:35.295000,14.0,4.0,0 days 00:00:16.960000,0 days 00:00:40.683000,0 days 00:00:37.652000,0 days 01:05:50.858000,0 days 01:06:31.541000,0 days 01:07:09.193000,291.0,308.0,225.0,322.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 01:05:33.898000,1.0,1.0,2018,Abu Dhabi Grand Prix,False
L HAMILTON,44,0 days 00:01:34.794000,17.0,5.0,0 days 00:00:16.893000,0 days 00:00:40.545000,0 days 00:00:37.356000,0 days 01:14:14.291000,0 days 01:14:54.836000,0 days 01:15:32.192000,293.0,308.0,223.0,320.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 01:13:57.398000,1.0,1.0,2018,Abu Dhabi Grand Prix,False
L HAMILTON,44,0 days 00:02:10.346000,18.0,5.0,0 days 00:00:21.017000,0 days 00:00:53.304000,0 days 00:00:56.025000,0 days 01:15:53.209000,0 days 01:16:46.513000,0 days 01:17:42.538000,211.0,186.0,55.0,240.0,False,HYPERSOFT,3.0,True,Mercedes,0 days 01:15:32.192000,1.0,1.0,2018,Abu Dhabi Grand Prix,False
L STROLL,18,0 days 00:01:40.164000,2.0,1.0,0 days 00:00:17.801000,0 days 00:00:42.257000,0 days 00:00:40.106000,0 days 00:18:55.103000,0 days 00:19:37.360000,0 days 00:20:17.466000,284.0,318.0,220.0,327.0,True,HYPERSOFT,2.0,True,Williams,0 days 00:18:37.302000,1.0,20.0,2018,Abu Dhabi Grand Prix,False
L STROLL,18,0 days 00:01:38.682000,5.0,2.0,0 days 00:00:17.385000,0 days 00:00:41.865000,0 days 00:00:39.432000,0 days 00:32:37.731000,0 days 00:33:19.596000,0 days 00:33:59.028000,284.0,316.0,217.0,328.0,True,HYPERSOFT,2.0,True,Williams,0 days 00:32:20.346000,1.0,20.0,2018,Abu Dhabi Grand Prix,False
M ERICSSON,9,0 days 00:01:39.493000,2.0,1.0,0 days 00:00:17.264000,0 days 00:00:42.204000,0 days 00:00:40.025000,0 days 00:18:02.530000,0 days 00:18:44.734000,0 days 00:19:24.759000,290.0,316.0,223.0,328.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:17:45.266000,1.0,12.0,2018,Abu Dhabi Grand Prix,False
M ERICSSON,9,0 days 00:01:38.757000,4.0,1.0,0 days 00:00:17.353000,0 days 00:00:41.755000,0 days 00:00:39.649000,0 days 00:22:33.295000,0 days 00:23:15.050000,0 days 00:23:54.699000,285.0,318.0,225.0,326.0,True,HYPERSOFT,4.0,True,Sauber,0 days 00:22:15.942000,1.0,12.0,2018,Abu Dhabi Grand Prix,False
M ERICSSON,9,0 days 00:01:37.619000,7.0,2.0,0 days 00:00:17.126000,0 days 00:00:41.297000,0 days 00:00:39.196000,0 days 00:32:04.766000,0 days 00:32:46.063000,0 days 00:33:25.259000,291.0,318.0,222.0,330.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:31:47.640000,1.0,12.0,2018,Abu Dhabi Grand Prix,False
M ERICSSON,9,0 days 00:01:37.592000,10.0,3.0,0 days 00:00:17.052000,0 days 00:00:41.347000,0 days 00:00:39.193000,0 days 00:43:31.188000,0 days 00:44:12.535000,0 days 00:44:51.728000,292.0,318.0,226.0,333.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:43:14.136000,1.0,12.0,2018,Abu Dhabi Grand Prix,False
M ERICSSON,9,0 days 00:01:37.132000,13.0,4.0,0 days 00:00:17.055000,0 days 00:00:41.208000,0 days 00:00:38.869000,0 days 00:54:28.468000,0 days 00:55:09.676000,0 days 00:55:48.545000,293.0,316.0,227.0,330.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:54:11.413000,1.0,12.0,2018,Abu Dhabi Grand Prix,False
M VERSTAPPEN,33,0 days 00:01:37.195000,2.0,1.0,0 days 00:00:17.433000,0 days 00:00:41.280000,0 days 00:00:38.482000,0 days 00:24:30.882000,0 days 00:25:12.162000,0 days 00:25:50.644000,281.0,311.0,223.0,318.0,True,HYPERSOFT,2.0,True,Red Bull Racing,0 days 00:24:13.449000,1.0,6.0,2018,Abu Dhabi Grand Prix,False
M VERSTAPPEN,33,0 days 00:01:37.251000,5.0,2.0,0 days 00:00:17.279000,0 days 00:00:41.465000,0 days 00:00:38.507000,0 days 00:46:41.325000,0 days 00:47:22.790000,0 days 00:48:01.297000,284.0,306.0,223.0,319.0,True,ULTRASOFT,2.0,True,Red Bull Racing,0 days 00:46:24.046000,1.0,6.0,2018,Abu Dhabi Grand Prix,False
M VERSTAPPEN,33,0 days 00:01:36.144000,8.0,3.0,0 days 00:00:17.275000,0 days 00:00:41.067000,0 days 00:00:37.802000,0 days 00:55:10.086000,0 days 00:55:51.153000,0 days 00:56:28.955000,286.0,309.0,222.0,322.0,True,HYPERSOFT,2.0,True,Red Bull Racing,0 days 00:54:52.811000,1.0,6.0,2018,Abu Dhabi Grand Prix,False
M VERSTAPPEN,33,0 days 00:01:35.589000,11.0,4.0,0 days 00:00:17.094000,0 days 00:00:40.861000,0 days 00:00:37.634000,0 days 01:06:33.288000,0 days 01:07:14.149000,0 days 01:07:51.783000,285.0,307.0,223.0,318.0,True,HYPERSOFT,2.0,True,Red Bull Racing,0 days 01:06:16.194000,1.0,6.0,2018,Abu Dhabi Grand Prix,False
N HULKENBERG,27,0 days 00:01:37.569000,2.0,1.0,0 days 00:00:17.365000,0 days 00:00:41.449000,0 days 00:00:38.755000,0 days 00:24:59.314000,0 days 00:25:40.763000,0 days 00:26:19.518000,284.0,314.0,224.0,324.0,True,HYPERSOFT,2.0,True,Renault,0 days 00:24:41.949000,1.0,10.0,2018,Abu Dhabi Grand Prix,False
N HULKENBERG,27,0 days 00:01:37.240000,5.0,2.0,0 days 00:00:17.360000,0 days 00:00:41.414000,0 days 00:00:38.466000,0 days 00:43:16.463000,0 days 00:43:57.877000,0 days 00:44:36.343000,287.0,312.0,224.0,327.0,True,HYPERSOFT,2.0,True,Renault,0 days 00:42:59.103000,1.0,10.0,2018,Abu Dhabi Grand Prix,False
N HULKENBERG,27,0 days 00:01:36.630000,8.0,3.0,0 days 00:00:17.243000,0 days 00:00:41.091000,0 days 00:00:38.296000,0 days 00:53:55.910000,0 days 00:54:37.001000,0 days 00:55:15.297000,288.0,313.0,220.0,325.0,True,HYPERSOFT,2.0,True,Renault,0 days 00:53:38.667000,1.0,10.0,2018,Abu Dhabi Grand Prix,False
N HULKENBERG,27,0 days 00:01:36.542000,11.0,4.0,0 days 00:00:17.179000,0 days 00:00:41.131000,0 days 00:00:38.232000,0 days 01:05:53.759000,0 days 01:06:34.890000,0 days 01:07:13.122000,288.0,313.0,224.0,325.0,True,HYPERSOFT,2.0,True,Renault,0 days 01:05:36.580000,1.0,10.0,2018,Abu Dhabi Grand Prix,False
N HULKENBERG,27,0 days 00:01:36.670000,14.0,5.0,0 days 00:00:17.227000,0 days 00:00:41.301000,0 days 00:00:38.142000,0 days 01:14:17.447000,0 days 01:14:58.748000,0 days 01:15:36.890000,288.0,311.0,223.0,324.0,False,HYPERSOFT,2.0,True,Renault,0 days 01:14:00.220000,1.0,10.0,2018,Abu Dhabi Grand Prix,False
P GASLY,10,0 days 00:01:38.707000,2.0,1.0,0 days 00:00:17.604000,0 days 00:00:41.806000,0 days 00:00:39.297000,0 days 00:17:50.255000,0 days 00:18:32.061000,0 days 00:19:11.358000,284.0,315.0,218.0,327.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:17:32.651000,1.0,17.0,2018,Abu Dhabi Grand Prix,False
P GASLY,10,0 days 00:02:23.834000,3.0,1.0,0 days 00:00:26.198000,0 days 00:00:57.127000,0 days 00:01:00.509000,0 days 00:19:37.556000,0 days 00:20:34.683000,0 days 00:21:35.192000,216.0,189.0,179.0,207.0,False,HYPERSOFT,3.0,True,Toro Rosso,0 days 00:19:11.358000,1.0,17.0,2018,Abu Dhabi Grand Prix,False
P GASLY,10,0 days 00:02:18.443000,4.0,1.0,0 days 00:00:26.284000,0 days 00:00:58.386000,0 days 00:00:53.773000,0 days 00:22:01.476000,0 days 00:22:59.862000,0 days 00:23:53.635000,114.0,112.0,223.0,242.0,False,HYPERSOFT,4.0,True,Toro Rosso,0 days 00:21:35.192000,1.0,17.0,2018,Abu Dhabi Grand Prix,False
P GASLY,10,0 days 00:01:38.166000,5.0,1.0,0 days 00:00:17.554000,0 days 00:00:41.602000,0 days 00:00:39.010000,0 days 00:24:11.189000,0 days 00:24:52.791000,0 days 00:25:31.801000,282.0,315.0,221.0,324.0,True,HYPERSOFT,5.0,True,Toro Rosso,0 days 00:23:53.635000,1.0,17.0,2018,Abu Dhabi Grand Prix,False
P GASLY,10,0 days 00:01:38.949000,8.0,2.0,0 days 00:00:17.459000,0 days 00:00:41.419000,0 days 00:00:40.071000,0 days 00:32:50.910000,0 days 00:33:32.329000,0 days 00:34:12.400000,286.0,315.0,117.0,327.0,False,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:32:33.451000,1.0,17.0,2018,Abu Dhabi Grand Prix,False
R GROSJEAN,8,0 days 00:01:37.575000,2.0,1.0,0 days 00:00:17.094000,0 days 00:00:41.430000,0 days 00:00:39.051000,0 days 00:24:35.070000,0 days 00:25:16.500000,0 days 00:25:55.551000,288.0,316.0,226.0,326.0,True,HYPERSOFT,2.0,True,Haas F1 Team,0 days 00:24:17.976000,1.0,7.0,2018,Abu Dhabi Grand Prix,False
