DriverNumber,BroadcastName,TeamName,Position,Q1,Q2,Q3,Year,EventName,WetSession
63,G RUSSELL,Mercedes,6.0,0 days 00:01:19.405000,0 days 00:01:19.076000,0 days 00:01:18.933000,2022,Australian Grand Prix,False
3,D RICCIARDO,McLaren,7.0,0 days 00:01:19.665000,0 days 00:01:19.130000,0 days 00:01:19.032000,2022,Australian Grand Prix,False
31,E OCON,Alpine,8.0,0 days 00:01:19.605000,0 days 00:01:19.136000,0 days 00:01:19.061000,2022,Australian Grand Prix,False
55,C SAINZ,Ferrari,9.0,0 days 00:01:18.983000,0 days 00:01:18.469000,0 days 00:01:19.408000,2022,Australian Grand Prix,False
14,F ALONSO,Alpine,10.0,0 days 00:01:19.192000,0 days 00:01:18.815000,,2022,Australian Grand Prix,False
10,P GASLY,AlphaTauri,11.0,0 days 00:01:19.580000,0 days 00:01:19.226000,,2022,Australian Grand Prix,False
77,V BOTTAS,Alfa Romeo,12.0,0 days 00:01:19.251000,0 days 00:01:19.410000,,2022,Australian Grand Prix,False
22,Y TSUNODA,AlphaTauri,13.0,0 days 00:01:19.742000,0 days 00:01:19.424000,,2022,Australian Grand Prix,False
24,G ZHOU,Alfa Romeo,14.0,0 days 00:01:19.910000,0 days 00:01:20.155000,,2022,Australian Grand Prix,False
47,M SCHUMACHER,Haas F1 Team,15.0,0 days 00:01:20.104000,0 days 00:01:20.465000,,2022,Australian Grand Prix,False
23,A ALBON,Williams,16.0,0 days 00:01:20.135000,,,2022,Australian Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,17.0,0 days 00:01:20.254000,,,2022,Australian Grand Prix,False
5,S VETTEL,Aston Martin,18.0,0 days 00:01:21.149000,,,2022,Australian Grand Prix,False
6,N LATIFI,Williams,19.0,0 days 00:01:21.372000,,,2022,Australian Grand Prix,False
18,L STROLL,Aston Martin,20.0,,,,2022,Australian Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,1.0,0 days 00:01:19.295000,0 days 00:01:18.793000,0 days 00:01:27.999000,2022,Emilia Romagna Grand Prix,False
16,C LECLERC,Ferrari,2.0,0 days 00:01:18.796000,0 days 00:01:19.584000,0 days 00:01:28.778000,2022,Emilia Romagna Grand Prix,False
4,L NORRIS,McLaren,3.0,0 days 00:01:20.168000,0 days 00:01:19.294000,0 days 00:01:29.131000,2022,Emilia Romagna Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,4.0,0 days 00:01:20.147000,0 days 00:01:19.902000,0 days 00:01:29.164000,2022,Emilia Romagna Grand Prix,False
14,F ALONSO,Alpine,5.0,0 days 00:01:20.198000,0 days 00:01:19.595000,0 days 00:01:29.202000,2022,Emilia Romagna Grand Prix,False
3,D RICCIARDO,McLaren,6.0,0 days 00:01:19.980000,0 days 00:01:20.031000,0 days 00:01:29.742000,2022,Emilia Romagna Grand Prix,False
11,S PEREZ,Red Bull Racing,7.0,0 days 00:01:19.773000,0 days 00:01:19.296000,0 days 00:01:29.808000,2022,Emilia Romagna Grand Prix,False
77,V BOTTAS,Alfa Romeo,8.0,0 days 00:01:20.419000,0 days 00:01:20.192000,0 days 00:01:30.439000,2022,Emilia Romagna Grand Prix,False
5,S VETTEL,Aston Martin,9.0,0 days 00:01:20.364000,0 days 00:01:19.957000,0 days 00:01:31.062000,2022,Emilia Romagna Grand Prix,False
55,C SAINZ,Ferrari,10.0,0 days 00:01:19.305000,0 days 00:01:18.990000,,2022,Emilia Romagna Grand Prix,False
63,G RUSSELL,Mercedes,11.0,0 days 00:01:20.383000,0 days 00:01:20.757000,,2022,Emilia Romagna Grand Prix,False
47,M SCHUMACHER,Haas F1 Team,12.0,0 days 00:01:20.422000,0 days 00:01:20.916000,,2022,Emilia Romagna Grand Prix,False
44,L HAMILTON,Mercedes,13.0,0 days 00:01:20.470000,0 days 00:01:21.138000,,2022,Emilia Romagna Grand Prix,False
24,G ZHOU,Alfa Romeo,14.0,0 days 00:01:19.730000,0 days 00:01:21.434000,,2022,Emilia Romagna Grand Prix,False
18,L STROLL,Aston Martin,15.0,0 days 00:01:20.342000,0 days 00:01:28.119000,,2022,Emilia Romagna Grand Prix,False
22,Y TSUNODA,AlphaTauri,16.0,0 days 00:01:20.474000,,,2022,Emilia Romagna Grand Prix,False
10,P GASLY,AlphaTauri,17.0,0 days 00:01:20.732000,,,2022,Emilia Romagna Grand Prix,False
6,N LATIFI,Williams,18.0,0 days 00:01:21.971000,,,2022,Emilia Romagna Grand Prix,False
31,E OCON,Alpine,19.0,0 days 00:01:22.338000,,,2022,Emilia Romagna Grand Prix,False
23,A ALBON,Williams,20.0,,,,2022,Emilia Romagna Grand Prix,False
16,C LECLERC,Ferrari,1.0,0 days 00:01:29.474000,0 days 00:01:29.130000,0 days 00:01:28.796000,2022,Miami Grand Prix,False
55,C SAINZ,Ferrari,2.0,0 days 00:01:30.079000,0 days 00:01:29.729000,0 days 00:01:28.986000,2022,Miami Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,3.0,0 days 00:01:29.836000,0 days 00:01:29.202000,0 days 00:01:28.991000,2022,Miami Grand Prix,False
11,S PEREZ,Red Bull Racing,4.0,0 days 00:01:30.055000,0 days 00:01:29.673000,0 days 00:01:29.036000,2022,Miami Grand Prix,False
77,V BOTTAS,Alfa Romeo,5.0,0 days 00:01:30.845000,0 days 00:01:29.751000,0 days 00:01:29.475000,2022,Miami Grand Prix,False
44,L HAMILTON,Mercedes,6.0,0 days 00:01:30.388000,0 days 00:01:29.797000,0 days 00:01:29.625000,2022,Miami Grand Prix,False
10,P GASLY,AlphaTauri,7.0,0 days 00:01:30.779000,0 days 00:01:30.128000,0 days 00:01:29.690000,2022,Miami Grand Prix,False
4,L NORRIS,McLaren,8.0,0 days 00:01:30.761000,0 days 00:01:29.634000,0 days 00:01:29.750000,2022,Miami Grand Prix,False
22,Y TSUNODA,AlphaTauri,9.0,0 days 00:01:30.485000,0 days 00:01:30.031000,0 days 00:01:29.932000,2022,Miami Grand Prix,False
18,L STROLL,Aston Martin,10.0,0 days 00:01:30.441000,0 days 00:01:29.996000,0 days 00:01:30.676000,2022,Miami Grand Prix,False
14,F ALONSO,Alpine,11.0,0 days 00:01:30.407000,0 days 00:01:30.160000,,2022,Miami Grand Prix,False
63,G RUSSELL,Mercedes,12.0,0 days 00:01:30.490000,0 days 00:01:30.173000,,2022,Miami Grand Prix,False
5,S VETTEL,Aston Martin,13.0,0 days 00:01:30.677000,0 days 00:01:30.214000,,2022,Miami Grand Prix,False
3,D RICCIARDO,McLaren,14.0,0 days 00:01:30.583000,0 days 00:01:30.310000,,2022,Miami Grand Prix,False
47,M SCHUMACHER,Haas F1 Team,15.0,0 days 00:01:30.645000,0 days 00:01:30.423000,,2022,Miami Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,16.0,0 days 00:01:30.975000,,,2022,Miami Grand Prix,False
24,G ZHOU,Alfa Romeo,17.0,0 days 00:01:31.020000,,,2022,Miami Grand Prix,False
23,A ALBON,Williams,18.0,0 days 00:01:31.266000,,,2022,Miami Grand Prix,False
6,N LATIFI,Williams,19.0,0 days 00:01:31.325000,,,2022,Miami Grand Prix,False
31,E OCON,Alpine,20.0,,,,2022,Miami Grand Prix,False
16,C LECLERC,Ferrari,1.0,0 days 00:01:19.861000,0 days 00:01:19.969000,0 days 00:01:18.750000,2022,Spanish Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,2.0,0 days 00:01:20.091000,0 days 00:01:19.219000,0 days 00:01:19.073000,2022,Spanish Grand Prix,False
55,C SAINZ,Ferrari,3.0,0 days 00:01:19.892000,0 days 00:01:19.453000,0 days 00:01:19.166000,2022,Spanish Grand Prix,False
63,G RUSSELL,Mercedes,4.0,0 days 00:01:20.218000,0 days 00:01:19.470000,0 days 00:01:19.393000,2022,Spanish Grand Prix,False
11,S PEREZ,Red Bull Racing,5.0,0 days 00:01:20.447000,0 days 00:01:19.830000,0 days 00:01:19.420000,2022,Spanish Grand Prix,False
44,L HAMILTON,Mercedes,6.0,0 days 00:01:20.252000,0 days 00:01:19.794000,0 days 00:01:19.512000,2022,Spanish Grand Prix,False
77,V BOTTAS,Alfa Romeo,7.0,0 days 00:01:20.355000,0 days 00:01:20.053000,0 days 00:01:19.608000,2022,Spanish Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,8.0,0 days 00:01:20.227000,0 days 00:01:19.810000,0 days 00:01:19.682000,2022,Spanish Grand Prix,False
3,D RICCIARDO,McLaren,9.0,0 days 00:01:20.549000,0 days 00:01:20.287000,0 days 00:01:20.297000,2022,Spanish Grand Prix,False
47,M SCHUMACHER,Haas F1 Team,10.0,0 days 00:01:20.683000,0 days 00:01:20.436000,0 days 00:01:20.368000,2022,Spanish Grand Prix,False
4,L NORRIS,McLaren,11.0,0 days 00:01:20.838000,0 days 00:01:20.471000,,2022,Spanish Grand Prix,False
31,E OCON,Alpine,12.0,0 days 00:01:20.880000,0 days 00:01:20.638000,,2022,Spanish Grand Prix,False
22,Y TSUNODA,AlphaTauri,13.0,0 days 00:01:20.707000,0 days 00:01:20.639000,,2022,Spanish Grand Prix,False
10,P GASLY,AlphaTauri,14.0,0 days 00:01:20.719000,0 days 00:01:20.861000,,2022,Spanish Grand Prix,False
24,G ZHOU,Alfa Romeo,15.0,0 days 00:01:20.476000,0 days 00:01:21.094000,,2022,Spanish Grand Prix,False
5,S VETTEL,Aston Martin,16.0,0 days 00:01:20.954000,,,2022,Spanish Grand Prix,False
14,F ALONSO,Alpine,17.0,0 days 00:01:21.043000,,,2022,Spanish Grand Prix,False
18,L STROLL,Aston Martin,18.0,0 days 00:01:21.418000,,,2022,Spanish Grand Prix,False
23,A ALBON,Williams,19.0,0 days 00:01:21.645000,,,2022,Spanish Grand Prix,False
6,N LATIFI,Williams,20.0,0 days 00:01:21.915000,,,2022,Spanish Grand Prix,False
16,C LECLERC,Ferrari,1.0,0 days 00:01:12.569000,0 days 00:01:11.864000,0 days 00:01:11.376000,2022,Monaco Grand Prix,False
55,C SAINZ,Ferrari,2.0,0 days 00:01:12.616000,0 days 00:01:12.074000,0 days 00:01:11.601000,2022,Monaco Grand Prix,False
11,S PEREZ,Red Bull Racing,3.0,0 days 00:01:13.004000,0 days 00:01:11.954000,0 days 00:01:11.629000,2022,Monaco Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,4.0,0 days 00:01:12.993000,0 days 00:01:12.117000,0 days 00:01:11.666000,2022,Monaco Grand Prix,False
