DriverNumber,BroadcastName,TeamName,Position,Q1,Q2,Q3,Year,EventName,WetSession
1,M VERSTAPPEN,Red Bull Racing,1.0,0 days 00:01:31.295000,0 days 00:01:30.503000,0 days 00:01:29.708000,2023,Bahrain Grand Prix,False
11,S PEREZ,Red Bull Racing,2.0,0 days 00:01:31.479000,0 days 00:01:30.746000,0 days 00:01:29.846000,2023,Bahrain Grand Prix,False
16,C LECLERC,Ferrari,3.0,0 days 00:01:31.094000,0 days 00:01:30.282000,0 days 00:01:30,2023,Bahrain Grand Prix,False
55,C SAINZ,Ferrari,4.0,0 days 00:01:30.993000,0 days 00:01:30.515000,0 days 00:01:30.154000,2023,Bahrain Grand Prix,False
14,F ALONSO,Aston Martin,5.0,0 days 00:01:31.158000,0 days 00:01:30.645000,0 days 00:01:30.336000,2023,Bahrain Grand Prix,False
63,G RUSSELL,Mercedes,6.0,0 days 00:01:31.057000,0 days 00:01:30.507000,0 days 00:01:30.340000,2023,Bahrain Grand Prix,False
44,L HAMILTON,Mercedes,7.0,0 days 00:01:31.543000,0 days 00:01:30.513000,0 days 00:01:30.384000,2023,Bahrain Grand Prix,False
18,L STROLL,Aston Martin,8.0,0 days 00:01:31.184000,0 days 00:01:31.127000,0 days 00:01:30.836000,2023,Bahrain Grand Prix,False
31,E OCON,Alpine,9.0,0 days 00:01:31.508000,0 days 00:01:30.914000,0 days 00:01:30.984000,2023,Bahrain Grand Prix,False
27,N HULKENBERG,Haas F1 Team,10.0,0 days 00:01:31.204000,0 days 00:01:30.809000,,2023,Bahrain Grand Prix,False
4,L NORRIS,McLaren,11.0,0 days 00:01:31.652000,0 days 00:01:31.381000,,2023,Bahrain Grand Prix,False
77,V BOTTAS,Alfa Romeo,12.0,0 days 00:01:31.504000,0 days 00:01:31.443000,,2023,Bahrain Grand Prix,False
24,G ZHOU,Alfa Romeo,13.0,0 days 00:01:31.615000,0 days 00:01:31.473000,,2023,Bahrain Grand Prix,False
22,Y TSUNODA,AlphaTauri,14.0,0 days 00:01:31.400000,0 days 00:01:32.510000,,2023,Bahrain Grand Prix,False
23,A ALBON,Williams,15.0,0 days 00:01:31.461000,,,2023,Bahrain Grand Prix,False
2,L SARGEANT,Williams,16.0,0 days 00:01:31.652000,,,2023,Bahrain Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,17.0,0 days 00:01:31.892000,,,2023,Bahrain Grand Prix,False
81,O PIASTRI,McLaren,18.0,0 days 00:01:32.101000,,,2023,Bahrain Grand Prix,False
21,N DE VRIES,AlphaTauri,19.0,0 days 00:01:32.121000,,,2023,Bahrain Grand Prix,False
10,P GASLY,Alpine,20.0,0 days 00:01:32.181000,,,2023,Bahrain Grand Prix,False
11,S PEREZ,Red Bull Racing,1.0,0 days 00:01:29.244000,0 days 00:01:28.635000,0 days 00:01:28.265000,2023,Saudi Arabian Grand Prix,False
16,C LECLERC,Ferrari,2.0,0 days 00:01:29.376000,0 days 00:01:28.903000,0 days 00:01:28.420000,2023,Saudi Arabian Grand Prix,False
14,F ALONSO,Aston Martin,3.0,0 days 00:01:29.298000,0 days 00:01:28.757000,0 days 00:01:28.730000,2023,Saudi Arabian Grand Prix,False
63,G RUSSELL,Mercedes,4.0,0 days 00:01:29.592000,0 days 00:01:29.132000,0 days 00:01:28.857000,2023,Saudi Arabian Grand Prix,False
55,C SAINZ,Ferrari,5.0,0 days 00:01:29.411000,0 days 00:01:28.957000,0 days 00:01:28.931000,2023,Saudi Arabian Grand Prix,False
18,L STROLL,Aston Martin,6.0,0 days 00:01:29.335000,0 days 00:01:28.962000,0 days 00:01:28.945000,2023,Saudi Arabian Grand Prix,False
31,E OCON,Alpine,7.0,0 days 00:01:29.707000,0 days 00:01:29.255000,0 days 00:01:29.078000,2023,Saudi Arabian Grand Prix,False
44,L HAMILTON,Mercedes,8.0,0 days 00:01:29.689000,0 days 00:01:29.374000,0 days 00:01:29.223000,2023,Saudi Arabian Grand Prix,False
81,O PIASTRI,McLaren,9.0,0 days 00:01:29.706000,0 days 00:01:29.378000,0 days 00:01:29.243000,2023,Saudi Arabian Grand Prix,False
10,P GASLY,Alpine,10.0,0 days 00:01:29.890000,0 days 00:01:29.411000,0 days 00:01:29.357000,2023,Saudi Arabian Grand Prix,False
27,N HULKENBERG,Haas F1 Team,11.0,0 days 00:01:29.547000,0 days 00:01:29.451000,,2023,Saudi Arabian Grand Prix,False
24,G ZHOU,Alfa Romeo,12.0,0 days 00:01:29.654000,0 days 00:01:29.461000,,2023,Saudi Arabian Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,13.0,0 days 00:01:29.744000,0 days 00:01:29.634000,,2023,Saudi Arabian Grand Prix,False
77,V BOTTAS,Alfa Romeo,14.0,0 days 00:01:29.929000,0 days 00:01:29.668000,,2023,Saudi Arabian Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,15.0,0 days 00:01:28.761000,0 days 00:01:49.953000,,2023,Saudi Arabian Grand Prix,False
22,Y TSUNODA,AlphaTauri,16.0,0 days 00:01:29.939000,,,2023,Saudi Arabian Grand Prix,False
23,A ALBON,Williams,17.0,0 days 00:01:29.994000,,,2023,Saudi Arabian Grand Prix,False
21,N DE VRIES,AlphaTauri,18.0,0 days 00:01:30.244000,,,2023,Saudi Arabian Grand Prix,False
4,L NORRIS,McLaren,19.0,0 days 00:01:30.447000,,,2023,Saudi Arabian Grand Prix,False
2,L SARGEANT,Williams,20.0,0 days 00:02:08.510000,,,2023,Saudi Arabian Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,1.0,0 days 00:01:17.384000,0 days 00:01:17.056000,0 days 00:01:16.732000,2023,Australian Grand Prix,False
63,G RUSSELL,Mercedes,2.0,0 days 00:01:17.654000,0 days 00:01:17.513000,0 days 00:01:16.968000,2023,Australian Grand Prix,False
44,L HAMILTON,Mercedes,3.0,0 days 00:01:17.689000,0 days 00:01:17.551000,0 days 00:01:17.104000,2023,Australian Grand Prix,False
14,F ALONSO,Aston Martin,4.0,0 days 00:01:17.832000,0 days 00:01:17.283000,0 days 00:01:17.139000,2023,Australian Grand Prix,False
55,C SAINZ,Ferrari,5.0,0 days 00:01:17.928000,0 days 00:01:17.349000,0 days 00:01:17.270000,2023,Australian Grand Prix,False
18,L STROLL,Aston Martin,6.0,0 days 00:01:17.873000,0 days 00:01:17.616000,0 days 00:01:17.308000,2023,Australian Grand Prix,False
16,C LECLERC,Ferrari,7.0,0 days 00:01:18.218000,0 days 00:01:17.390000,0 days 00:01:17.369000,2023,Australian Grand Prix,False
23,A ALBON,Williams,8.0,0 days 00:01:17.962000,0 days 00:01:17.761000,0 days 00:01:17.609000,2023,Australian Grand Prix,False
10,P GASLY,Alpine,9.0,0 days 00:01:18.312000,0 days 00:01:17.574000,0 days 00:01:17.675000,2023,Australian Grand Prix,False
27,N HULKENBERG,Haas F1 Team,10.0,0 days 00:01:18.029000,0 days 00:01:17.412000,0 days 00:01:17.735000,2023,Australian Grand Prix,False
31,E OCON,Alpine,11.0,0 days 00:01:17.770000,0 days 00:01:17.768000,,2023,Australian Grand Prix,False
22,Y TSUNODA,AlphaTauri,12.0,0 days 00:01:18.471000,0 days 00:01:18.099000,,2023,Australian Grand Prix,False
4,L NORRIS,McLaren,13.0,0 days 00:01:18.243000,0 days 00:01:18.119000,,2023,Australian Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,14.0,0 days 00:01:18.159000,0 days 00:01:18.129000,,2023,Australian Grand Prix,False
21,N DE VRIES,AlphaTauri,15.0,0 days 00:01:18.450000,0 days 00:01:18.335000,,2023,Australian Grand Prix,False
81,O PIASTRI,McLaren,16.0,0 days 00:01:18.517000,,,2023,Australian Grand Prix,False
24,G ZHOU,Alfa Romeo,17.0,0 days 00:01:18.540000,,,2023,Australian Grand Prix,False
2,L SARGEANT,Williams,18.0,0 days 00:01:18.557000,,,2023,Australian Grand Prix,False
77,V BOTTAS,Alfa Romeo,19.0,0 days 00:01:18.714000,,,2023,Australian Grand Prix,False
11,S PEREZ,Red Bull Racing,20.0,,,,2023,Australian Grand Prix,False
16,C LECLERC,Ferrari,1.0,0 days 00:01:41.269000,0 days 00:01:41.037000,0 days 00:01:40.203000,2023,Azerbaijan Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,2.0,0 days 00:01:41.398000,0 days 00:01:40.822000,0 days 00:01:40.391000,2023,Azerbaijan Grand Prix,False
11,S PEREZ,Red Bull Racing,3.0,0 days 00:01:41.756000,0 days 00:01:41.131000,0 days 00:01:40.495000,2023,Azerbaijan Grand Prix,False
